DATE,QUANTITY
2019-12-01,10942
2020-01-01,11941
2020-02-01,12103
2020-03-01,12793
2020-04-01,12169
2020-05-01,12374
2020-06-01,12185
2020-07-01,12389
2020-08-01,12345
2020-09-01,12149
2020-10-01,12642
2020-11-01,12891
2020-12-01,11789
2021-01-01,12788
2021-02-01,12950
2021-03-01,13640
2021-04-01,13016
2021-05-01,13221
2021-06-01,13032
2021-07-01,13236
2021-08-01,13192
2021-09-01,12996
2021-10-01,13489
2021-11-01,13738
2021-12-01,12636
2022-01-01,13635
2022-02-01,13797
2022-03-01,14487
2022-04-01,13863
2022-05-01,14068
2022-06-01,13879
2022-07-01,14083
2022-08-01,14039
2022-09-01,13844
2022-10-01,14336
2022-11-01,14585
